id,created_at,text
1.21359E+18,04/01/2020 22:52,"....hundreds of Iranian protesters. He was already attacking our Embassy, and preparing for additional hits in other locations. Iran has been nothing but problems for many years. Let this serve as a WARNING that if Iran strikes any Americans, or American assets, we have....."
1.21359E+18,04/01/2020 22:52,"....targeted 52 Iranian sites (representing the 52 American hostages taken by Iran many years ago), some at a very high level &amp; important to Iran &amp;  the Iranian culture, and those targets, and Iran itself, WILL BE HIT VERY FAST AND VERY HARD. The USA wants no more threats!"
1.21368E+18,05/01/2020 04:53,"They attacked us, &amp; we hit back. If they attack again, which I would strongly advise them not to do, we will hit them harder than they have ever been hit before! https://t.co/qI5RfWsSCH"
1.21369E+18,05/01/2020 05:11,"The United States just spent Two Trillion Dollars on Military Equipment. We are the biggest and by far the BEST in the World! If Iran attacks an American Base, or any American, we will be sending some of that brand new beautiful equipment their way...and without hesitation!"
1.21392E+18,05/01/2020 20:25,"These Media Posts will serve as notification to the United States Congress that should Iran strike any U.S. person or target, the United States will quickly &amp; fully strike back, &amp; perhaps in a disproportionate manner. Such legal notice is not required, but is given nevertheless!"
1.21418E+18,06/01/2020 13:37,"“The reason they are not sending the Articles of Impeachment to the Senate is that they are so weak and so pathetic.” @LindseyGrahamSC @MariaBartiromo  The great Scam continues. To be spending time on this political Hoax at this moment in our history, when I am so busy, is sad!"
1.2142E+18,06/01/2020 14:48,IRAN WILL NEVER HAVE A NUCLEAR WEAPON!
1.21423E+18,06/01/2020 17:02,https://t.co/XpVY2bnR5a
1.21423E+18,06/01/2020 17:02,https://t.co/dXBP7Srsqy
1.21433E+18,06/01/2020 23:50,"The homeless situation in Los Angeles, San Francisco, and many other Democrat Party run cities throughout the Nation is a state and local problem, not a federal problem...."
1.21433E+18,06/01/2020 23:50,"....If however, the city or state in question is willing to acknowledge responsibility, and politely asks for help from the Federal Government, we will very seriously consider getting involved in order to make those poorly run Democrat Cities Great Again!"
1.21434E+18,07/01/2020 00:12,"RT @TuckerCarlson: San Francisco's left-wing government has turned the city into an ""American Dystopia"" - Our shocking &amp; exclusive 5-part s…"
1.21434E+18,07/01/2020 00:12,"RT @SenateGOP: Qassem Soleimani’s 20-year span of terror is finally over.
 
America—and the world—are safer because @realdonaldtrump took a…"
1.21435E+18,07/01/2020 00:39,"RT @Jim_Jordan: .@KellyannePolls said it best: ""I'm not going to be lectured by people who voted... to fork over $130 billion in cash to Ir…"
1.21435E+18,07/01/2020 00:40,Amazing analysis &amp; reporting! https://t.co/OC2sbdIAdh
1.21435E+18,07/01/2020 00:41,RT @realDonaldTrump: https://t.co/dXBP7Srsqy
1.21436E+18,07/01/2020 01:50,RT @LouDobbs: Web of Corruption. @TomFitton says new @JudicialWatch documents expose the corrupt Obama State Department’s involvement in Sp…
1.21436E+18,07/01/2020 01:50,RT @TomFitton: Coup update...
1.21436E+18,07/01/2020 01:50,RT @TomFitton: #StoptheCoup
1.21437E+18,07/01/2020 02:06,"RT @GOPChairwoman: How terrible was the Obama-Biden Iran policy?

In 2016, their Secretary of State John Kerry admitted that some Iranian s…"
1.21437E+18,07/01/2020 02:09,"RT @TeamTrump: President @realDonaldTrump inherited a MESS from the Obama and Biden years. 

But he is cleaning it up very quickly! https:/…"
1.21438E+18,07/01/2020 02:48,"RT @BradThor: Very informative piece --&gt; ""It is impossible to overstate the importance of this particular action. It is more significant th…"
1.21438E+18,07/01/2020 02:50,RT @marcthiessen: Besides Soleimani already carried out an attack that killed an American citizen. Trump needed no other justification.
1.21438E+18,07/01/2020 02:51,"RT @hughhewitt: This is attempted deterrence. It doesn’t always work, but Iran —against the backdrop of prior restraint followed by decisiv…"
1.21438E+18,07/01/2020 02:51,RT @marcthiessen: Every word Pompeo said is true.
1.21438E+18,07/01/2020 02:54,RT @ByronYork: The White House can assert executive privilege. It's not Bolton's privilege; it's the president's. If executive privilege co…
1.21451E+18,07/01/2020 11:44,We love Australia! https://t.co/BFPCNS81YR
1.21452E+18,07/01/2020 11:55,"RT @marcorubio: Worth repeating. 

The testimony &amp; evidence considered in a Senate impeachment trial should be the same testimony &amp; evidenc…"
1.21452E+18,07/01/2020 11:55,"RT @marcorubio: U.S. intent with regards to #Iran is clear

Future U.S. military action depends entirely on what Iran decides to do first…"
1.21452E+18,07/01/2020 11:59,"RT @LindseyGrahamSC: Now she is sitting on the Articles and trying to run the Senate – denying President Trump his day in court.
 
Presiden…"
1.21452E+18,07/01/2020 11:59,"RT @LindseyGrahamSC: 📌 When it comes to @SpeakerPelosi’s political stunts regarding the Articles of Impeachment – Enough Already!
 
📌 Speak…"
1.21452E+18,07/01/2020 11:59,"RT @LindseyGrahamSC: To my Democratic colleagues:  40 years of Iranian aggression needs to be dealt with forcefully.
 
Iran is:

▶️ The lar…"
1.21452E+18,07/01/2020 11:59,"RT @LindseyGrahamSC: ▶️ Dismembering Syria and Yemen.
▶️ Killing their own citizens who are demanding freedom
 
President Trump is right to…"
